11/28/2016 5:00,0.7443,0.7443,0.7437,0.7437
11/28/2016 5:05,0.7439,0.7442,0.7439,0.7441
11/28/2016 5:10,0.7441,0.7441,0.744,0.7441
11/28/2016 5:15,0.7441,0.7441,0.7441,0.7441
11/28/2016 5:20,0.7441,0.7441,0.744,0.7441
11/28/2016 5:35,0.7441,0.7441,0.7441,0.7441
11/28/2016 5:40,0.7441,0.7443,0.7441,0.7442
11/28/2016 5:45,0.7443,0.7443,0.7443,0.7443
11/28/2016 5:50,0.7443,0.7443,0.7443,0.7443
11/28/2016 5:55,0.7444,0.7447,0.7443,0.7446
11/28/2016 6:00,0.7447,0.7447,0.7445,0.7446
11/28/2016 6:05,0.7446,0.7447,0.7446,0.7446
11/28/2016 6:10,0.7446,0.7446,0.7445,0.7445
11/28/2016 6:15,0.7447,0.7448,0.7444,0.7447
11/28/2016 6:20,0.7446,0.7446,0.7446,0.7446
11/28/2016 6:25,0.7447,0.7448,0.7444,0.7447
11/28/2016 6:30,0.7446,0.7446,0.7446,0.7446
11/28/2016 6:35,0.7447,0.7447,0.7444,0.7446
11/28/2016 6:40,0.7446,0.7447,0.7444,0.7446
11/28/2016 6:45,0.7447,0.7447,0.7446,0.7446
11/28/2016 6:50,0.7447,0.7448,0.7442,0.7445
11/28/2016 6:55,0.7446,0.7446,0.7445,0.7445
11/28/2016 7:00,0.7445,0.7447,0.7443,0.7443
11/28/2016 7:05,0.7443,0.7444,0.7442,0.7444
11/28/2016 7:10,0.7443,0.7446,0.7442,0.7446
11/28/2016 7:15,0.7446,0.7451,0.7444,0.7451
11/28/2016 7:20,0.7451,0.7451,0.7449,0.7449
11/28/2016 7:25,0.7449,0.7453,0.7447,0.7452
11/28/2016 7:30,0.7452,0.7453,0.745,0.7451
11/28/2016 7:35,0.7451,0.7451,0.7446,0.7446
11/28/2016 7:40,0.7446,0.7447,0.7445,0.7447
11/28/2016 7:45,0.7447,0.7449,0.7446,0.7447
11/28/2016 7:50,0.7447,0.745,0.7445,0.7448
11/28/2016 7:55,0.7448,0.7453,0.7448,0.7452
11/28/2016 8:00,0.7452,0.7454,0.7452,0.7453
11/28/2016 8:05,0.7452,0.7454,0.7452,0.7453
11/28/2016 8:10,0.7453,0.7457,0.7453,0.7455
11/28/2016 8:15,0.7455,0.7457,0.7451,0.7452
11/28/2016 8:20,0.7452,0.7453,0.7451,0.7453
11/28/2016 8:25,0.7453,0.7454,0.7452,0.7453
11/28/2016 8:30,0.7453,0.7457,0.7453,0.7454
11/28/2016 8:35,0.7454,0.7456,0.7452,0.7452
11/28/2016 8:40,0.7452,0.7454,0.7449,0.7452
11/28/2016 8:45,0.7452,0.7453,0.7447,0.7448
11/28/2016 8:50,0.7448,0.7449,0.7443,0.7449
11/28/2016 8:55,0.7449,0.7449,0.7444,0.7445
11/28/2016 9:00,0.7445,0.7446,0.7442,0.7443
11/28/2016 9:05,0.7443,0.7444,0.7442,0.7444
11/28/2016 9:10,0.7444,0.7446,0.7444,0.7445
11/28/2016 9:15,0.7445,0.7446,0.7445,0.7445
11/28/2016 9:20,0.7445,0.7446,0.7442,0.7445
11/28/2016 9:25,0.7445,0.7448,0.7445,0.7446
11/28/2016 9:30,0.7446,0.7448,0.7438,0.7443
11/28/2016 9:35,0.7443,0.7445,0.7442,0.7445
11/28/2016 9:40,0.7445,0.7445,0.7442,0.7444
11/28/2016 9:45,0.7444,0.7449,0.7443,0.7447
11/28/2016 9:50,0.7447,0.7447,0.7443,0.7446
11/28/2016 9:55,0.7446,0.7446,0.7438,0.7439
11/28/2016 10:00,0.7439,0.7443,0.7436,0.7442
11/28/2016 10:05,0.7442,0.7445,0.7442,0.7443
11/28/2016 10:10,0.7443,0.7444,0.7441,0.7441
11/28/2016 10:15,0.7441,0.7441,0.7439,0.7439
11/28/2016 10:20,0.7439,0.7441,0.7438,0.744
11/28/2016 10:25,0.744,0.744,0.7438,0.7439
11/28/2016 10:30,0.7439,0.7439,0.7435,0.7436
11/28/2016 10:35,0.7436,0.744,0.7436,0.7439
11/28/2016 10:40,0.7439,0.744,0.7438,0.7439
11/28/2016 10:45,0.7439,0.7444,0.7439,0.7443
11/28/2016 10:50,0.7443,0.7446,0.7442,0.7445
11/28/2016 10:55,0.7445,0.7445,0.7442,0.7442
11/28/2016 11:00,0.7442,0.7445,0.7441,0.7443
11/28/2016 11:05,0.7443,0.7444,0.7442,0.7444
11/28/2016 11:10,0.7444,0.7446,0.7443,0.7445
11/28/2016 11:15,0.7445,0.7446,0.7443,0.7446
11/28/2016 11:20,0.7446,0.745,0.7445,0.7448
11/28/2016 11:25,0.7448,0.7451,0.7446,0.7446
11/28/2016 11:30,0.7446,0.7446,0.7443,0.7443
11/28/2016 11:35,0.7443,0.7445,0.7443,0.7445
11/28/2016 11:40,0.7445,0.7451,0.7445,0.7451
11/28/2016 11:45,0.7451,0.7453,0.7444,0.7444
11/28/2016 11:50,0.7444,0.7447,0.7443,0.7447
11/28/2016 11:55,0.7447,0.7447,0.7439,0.7442
11/28/2016 12:00,0.7442,0.7442,0.7438,0.7438
11/28/2016 12:05,0.7438,0.7439,0.7435,0.7435
11/28/2016 12:10,0.7435,0.7442,0.7435,0.7441
11/28/2016 12:15,0.7441,0.7445,0.7437,0.7438
11/28/2016 12:20,0.7438,0.7439,0.7436,0.7439
11/28/2016 12:25,0.7439,0.7441,0.7434,0.7434
11/28/2016 12:30,0.7434,0.7435,0.7433,0.7435
11/28/2016 12:35,0.7435,0.7438,0.7434,0.7437
11/28/2016 12:40,0.7437,0.7442,0.7437,0.7441
11/28/2016 12:45,0.7441,0.7445,0.7439,0.7444
11/28/2016 12:50,0.7444,0.745,0.7442,0.7449
11/28/2016 12:55,0.7449,0.7453,0.7449,0.7452
11/28/2016 13:00,0.7452,0.746,0.7452,0.7459
11/28/2016 13:05,0.7459,0.7461,0.7458,0.746
11/28/2016 13:10,0.746,0.746,0.7456,0.7458
11/28/2016 13:15,0.7458,0.7467,0.7458,0.7466
11/28/2016 13:20,0.7466,0.7471,0.7464,0.7468
11/28/2016 13:25,0.7468,0.7469,0.7466,0.7467
11/28/2016 13:30,0.7467,0.7474,0.7466,0.7474
11/28/2016 13:35,0.7474,0.7476,0.7468,0.7473
11/28/2016 13:40,0.7473,0.7474,0.7468,0.7469
11/28/2016 13:45,0.7469,0.7474,0.7469,0.7469
11/28/2016 13:50,0.7469,0.747,0.7468,0.7468
11/28/2016 13:55,0.7468,0.747,0.7468,0.7469
11/28/2016 14:00,0.7469,0.7471,0.7466,0.7466
11/28/2016 14:05,0.7466,0.7469,0.7465,0.7469
11/28/2016 14:10,0.7469,0.7469,0.7467,0.7469
11/28/2016 14:15,0.7469,0.7469,0.7467,0.7468
11/28/2016 14:20,0.7468,0.7476,0.7468,0.7475
11/28/2016 14:25,0.7475,0.7475,0.7472,0.7472
11/28/2016 14:30,0.7472,0.7476,0.7471,0.7475
11/28/2016 14:35,0.7475,0.7476,0.7473,0.7476
11/28/2016 14:40,0.7476,0.7477,0.7474,0.7475
11/28/2016 14:45,0.7475,0.7476,0.7474,0.7474
11/28/2016 14:50,0.7474,0.7475,0.7473,0.7473
11/28/2016 14:55,0.7473,0.7473,0.7471,0.7472
11/28/2016 15:00,0.7472,0.7472,0.7469,0.7472
11/28/2016 15:05,0.7472,0.7474,0.7471,0.7472
11/28/2016 15:10,0.7472,0.7474,0.7471,0.7474
11/28/2016 15:15,0.7474,0.7477,0.7473,0.7475
11/28/2016 15:20,0.7475,0.7478,0.7475,0.7478
11/28/2016 15:25,0.7478,0.748,0.7477,0.7478
11/28/2016 15:30,0.7478,0.7479,0.7476,0.7479
11/28/2016 15:35,0.7479,0.7479,0.7474,0.7474
